precision@1,precision@5,recall@5,mrr,ndcg@5,time,first_stage_k,top_k,model,retrieve_time_ms
0.2,0.12000000000000002,0.2848484848484848,0.3,0.19438882196951135,2.038049554824829,50,5,"Cascade (first_stage_k=50, top_k=5)",2038.049554824829
0.2,0.12000000000000002,0.2848484848484848,0.3,0.19438882196951135,2.018015146255493,50,10,"Cascade (first_stage_k=50, top_k=10)",2018.0151462554932
0.2,0.12000000000000002,0.2848484848484848,0.29,0.18562407180174106,1.9633771896362304,100,5,"Cascade (first_stage_k=100, top_k=5)",1963.3771896362305
0.2,0.12000000000000002,0.2848484848484848,0.29,0.18562407180174106,1.7838531017303467,100,10,"Cascade (first_stage_k=100, top_k=10)",1783.8531017303467
