precision@1,precision@5,recall@5,mrr,ndcg@5,time,first_stage_k,top_k,model,retrieve_time_ms
0.24,0.11600000000000002,0.22681285381285382,0.29466666666666663,0.20633016143681807,1.9670009374618531,50,5,"Cascade (first_stage_k=50, top_k=5)",1967.000937461853
0.24,0.11600000000000002,0.22681285381285382,0.30333333333333334,0.20633016143681807,1.9346872425079347,50,10,"Cascade (first_stage_k=50, top_k=10)",1934.6872425079346
0.18,0.1,0.19978255078255075,0.257,0.17348968205795084,1.9412460708618164,100,5,"Cascade (first_stage_k=100, top_k=5)",1941.2460708618164
0.18,0.1,0.19978255078255075,0.2678888888888889,0.17348968205795084,1.93599036693573,100,10,"Cascade (first_stage_k=100, top_k=10)",1935.99036693573
