precision@1,precision@5,recall@5,mrr,ndcg@5,time,alpha,model,retrieve_time_ms
0.18,0.07600000000000001,0.12720224220224222,0.22833333333333333,0.1350797256541668,2.071812529563904,0.1,Linear Hybrid α=0.1,2071.812529563904
0.2,0.08800000000000001,0.16386890886890884,0.26066666666666666,0.1612779396887447,2.064264540672302,0.3,Linear Hybrid α=0.3,2064.2645406723022
0.22,0.08,0.15046631146631145,0.273,0.16249645464138468,2.1963213682174683,0.5,Linear Hybrid α=0.5,2196.3213682174683
0.18,0.10000000000000002,0.20582994782994782,0.24233333333333335,0.17940511113757182,1.9888819885253906,0.7,Linear Hybrid α=0.7,1988.8819885253906
0.16,0.08800000000000001,0.17845621045621043,0.20299999999999996,0.15269258643939354,2.038383541107178,0.9,Linear Hybrid α=0.9,2038.3835411071777
