precision@1,precision@5,recall@5,mrr,ndcg@5,time,k,model,retrieve_time_ms
0.22,0.12,0.23347952047952047,0.28900000000000003,0.21324343171748672,1.9777433156967164,20,RRF k=20,1977.7433156967163
0.22,0.11200000000000002,0.2119410589410589,0.2763333333333333,0.19871001322297466,1.9670851945877075,60,RRF k=60,1967.0851945877075
0.22,0.11200000000000002,0.2119410589410589,0.2763333333333333,0.19871001322297466,1.9317240619659424,100,RRF k=100,1931.7240619659424
